Language ,Tool ,Equivalent Mutants,Cost Reduction,Mutation Operators,v1,v5,,,,,,,,,,,,,
C ,SMT-C ,n/a,"Interpreter-based, weak mutation","assignment op, if statement, switch statement, relational op, method call, constant",,,,,,,,,,,,,,,
Fortran ,Mothra,n/a,Interpreter-based,"constant, variable, arithmetic op, relational op, conditional op, statement deletion, return statement, goto label, do statement, bomb statement, absolute value",,,,,,,,,,,,,,,
SQL ,SQLMutation/JDAMA ,Constraint binding,n/a,"arithmetic op, conditional op, relational op, absolute value, constant, variable, SQL-specific",,,,,,,,,,,,,,,
SQL ,SchemaAnalyst ,n/a,n/a,SQL-specific,,,,,,,,,,,,,,,
C\# ,GenMutants ,n/a,n/a,"absolute value, arithmetic op, conditional op, relational op",,,,,,,,,,,,,,,
C\# ,PexMutator,n/a,Compiler-based,"absolute value, arithmetic op, conditional op, relational op",,,,,,,,,,,,,,,
JavaScript ,MUTANDIS ,reduce likelihood,selection strategy,"method call, variable, JS-specific, constant, type, arithmetic op, assignment, relational op, conditional op, statement swap, control-flow disruption, statement deletion, switch statement, return statement",,,,,,,,,,,,,,,
AspectJ ,AjMutator ,static analysis,Compiler-based,AOP-specific,,,,,,,,,,,,,,,
UML specification ,MoMuT::UML ,n/a,Compiler-based,specification,,,,,,,,,,,,,,,


,,MuJava/$\mu$-java/Muclipse ,PIT/PiTest ,JAVALANCHE ,MAJOR ,Jumble ,Sofya ,Jester ,Proteum ,MiLu ,SMT-C ,Mothra,SQLMutation/JDAMA ,SchemaAnalyst ,GenMutants ,PexMutator,MUTANDIS ,AjMutator ,MoMuT::UML 
,,\rot{MuJava/$\mu$-java/Muclipse },\rot{PIT/PiTest },\rot{JAVALANCHE },\rot{MAJOR },\rot{Jumble },\rot{Sofya },\rot{Jester },\rot{Proteum },\rot{MiLu },\rot{SMT-C },\rot{Mothra},\rot{SQLMutation/JDAMA },\rot{SchemaAnalyst },\rot{GenMutants },\rot{PexMutator},\rot{MUTANDIS },\rot{AjMutator },\rot{MoMuT::UML }
specification,Specification Mutation ,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y
arithmetic op,arithmetic operator ,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N
relational op,relational operator ,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N
