Holt et al.\cite{holt2012state},test strategy evaluation
Hong et al.\cite{hong2013impact} *, test strategy evaluation 
Hong et al.\cite{hong2015concurrency},test strategy evaluation
Inozemtseva et al.\cite{inozemtseva2014coverage} , test strategy evaluation 
Jee et al.\cite{jee2014automated},test data generation
Jolly et al.\cite{jolly2012automated} , test strategy evaluation 
Kanewala and Bieman\cite{kanewala2013using},test oracle
Kapfhammer et al.\cite{kapfhammer2013search},test data generation
Khalil and Labiche\cite{khalil2010round},test strategy evaluation
Kim et al.\cite{kim2001investigating} , test strategy evaluation 
Koster and Kao\cite{koster2007state},test strategy evaluation
Kracht et al.\cite{kracht2014empirically} , test data generation 
Le Traon et al.\cite{le2006design},test strategy evaluation
Le Traon et al.\cite{le2007testing},"test strategy evaluation, test-suite selection"
Lei and Andrews\cite{lei2005minimization},test case minimisation
Li et al.\cite{li2007practical},test strategy evaluation
Loyala et al.\cite{loyola2014dodona} ,test oracle
Mariani et al.\cite{mariani2007compatibility},"test data generation, test case prioritisation"
Mayer and Guderlei\cite{mayer2006random},"test data generation, test strategy evaluation"
Mayer and Schneckenburger\cite{mayer2006empirical},test strategy evaluation
Mcminn et al.\cite{mcminn2015effectiveness},"test strategy evaluation, test data generation"
Milani et al.\cite{milani2014leveraging} , test data generation 
Miller and Strooper\cite{miller2012case},test strategy evaluation
Mottu et al.\cite{mottu2012static},test data generation
Mouchawrab et al.\cite{mouchawrab2007assessing} *, test data generation
Mouchawrab et al.\cite{mouchawrab2011assessing} , test data generation
Namin and Andrews\cite{namin2009influence} , test strategy evaluation 
Ntafos\cite{ntafos1984evaluation}*,test strategy evaluation
Ntafos\cite{ntafos1984required},test strategy evaluation
Offutt and Liu\cite{offutt1999generating},test data generation
Papadakis et al.\cite{papadakis2014sampling} , test-suite selection 
Pinte et al.\cite{pinte2008techniques},test data generation
Polo et al.\cite{polo2007integrating},test data generation
Pretschner et al.\cite{pretschner2008model},"test data generation, test strategy evaluation"
Qu et al.\cite{qu2007combinatorial} ," test data generation, test case prioritisation "
Qu et al.\cite{qu2012configuration} , test-suite selection 
Rubab et al.\cite{rubab2014model},test data generation
Rutherford et al.\cite{rutherford2006simulation}*,test strategy evaluation
Rutherford et al.\cite{rutherford2008evaluating},test strategy evaluation
Schuler and Zeller\cite{schuler2011assessing}*,test strategy evaluation
Schuler and Zeller\cite{schuler2013checked},test strategy evaluation
Segura et al.\cite{segura2010automated},test data generation
Shahamiri et al.\cite{shahamiri2012artificial},test oracle
Shi et al. \cite{shi2015measuring} , test strategy evaluation 
Shi et al.\cite{shi2015comparing},test-suite reduction
Shrestha and Rutherford\cite{shrestha2011empirical},test oracle
Staats et al.\cite{staats2011better} ,test oracle
Staats et al.\cite{staats2012oracle},test case prioritisation
Stephan and Cordy\cite{stephan2014model},model clone detection
Tan and Edwards\cite{tan2008evaluating},"test data generation, test strategy evaluation"
Tasiran et al.\cite{tasiran2012location},test strategy evaluation
Tuya et al.\cite{tuya2010full} , test strategy evaluation 
Vergilio et al.\cite{vergilio2006constraint},test strategy evaluation
Wang et al.\cite{wang2010correlating},test strategy evaluation
Wang et al.\cite{wang2015experience} , test data generation 
Watanabe and Sakamura\cite{watanabe1996specification},test data generation
Weyuker et al.\cite{weyuker1994automatically},test data generation
Whalen et al.\cite{whalen2013observable} , test strategy evaluation 
Xie et al.\cite{xie2011testing},test strategy evaluation
Xu and Ding\cite{xu2010prioritizing},test case prioritisation
