,java,c,c++,C#,Fortran,SQL,JavaScript
,specification,specification,"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op, method call, control-flow disruption, constant, variable, statement swap, program","conditional op, conditional exp, statement deletion, program","constant, variable, arithmetic op, relational op, conditional op, statement deletion, return statement, goto label, do statement, bomb statement, program","SQL-specific, program","method call, variable, JS-specific, program"
,"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op, absolute value,OO-specific, Java-specific, program",,,,,
,"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op,absolute value, program",,,,,
,"arithmetic op, shift op, bitwise op, relational op, conditional op,  assignment op,  conditional exp, return statement, OO-specific, constant, statement deletion, variable, switch statement, program",,,,,
,"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op, program",,,,,
,"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op,OO-specific, Java-specific, program",,,,,
,"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op, constant, return statement, switch statement, OO-specific, Java-specific, program",,,,,
,"arithmetic op, conditional op, relational op, method call, program",,,,,
,"concurrent mutation, program",,,,,
,"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op, absolute value,OO-specific, Java-specific, program",,,,,
,"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op, program",,,,,
,"arithmetic op, shift op, bitwise op, return statement, conditional op, assignment op, program",,,,,
,"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op, program",,,,,
,"relational op, arithmetic op, shift op, bitwise op, conditional op, assignment op, return statement, statement deletion, program",,,,,
,"constant, conditional exp, program",,,,,
,"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op, program",,,,,
,"arithmetic op, relational op, constant, variable, conditional op, statement deletion, OO-specific, bitwise op, program",,,,,
,"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op,absolute value,OO-specific, Java-specific, program",,,,,
,"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op,OO-specific, Java-specific, Interface mutation, program",,,,,
,"interface mutation, program",,,,,
,"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op,OO-specific, Java-specific, Interface mutation, program",,,,,
,"arithmetic op, conditional op, relational op,assignment op, bitwise op, shift op, constant, variable, absolute value, conditional exp, statement deletion, method call, return statement, control-flow disruption, program",,,,,
,"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op,OO-specific, Java-specific, program",,,,,
,"arithmetic op, conditional op, relational op,assignment op, bitwise op, shift op, constant, variable, absolute value, conditional exp, statement deletion, method call, return statement, control-flow disruption, program",,,,,
,"arithmetic op, relational op, program",,,,,
,"absolute value, arithmetic op, conditional op, relational op, program",,,,,
,"arithmetic op, relational op, conditional op, bitwise op, assignment op, shift op,OO-specific, Java-specific, program",,,,,
,"concurrent mutation, program",,,,,
